candidate_id,category,basis,match_standard,brand,product,pack,record_uom,specs,annual_volume,same_product_confirmed,collected_on,data_source,notes,fnd_carried,fnd_sku,fnd_brand,fnd_price,fnd_uom,fnd_pack_coverage,fnd_promo_price,fnd_specs,fnd_url,hd_carried,hd_sku,hd_brand,hd_price,hd_uom,hd_pack_coverage,hd_promo_price,hd_specs,hd_url,lw_carried,lw_sku,lw_brand,lw_price,lw_uom,lw_pack_coverage,lw_promo_price,lw_specs,lw_url,mnd_carried,mnd_sku,mnd_brand,mnd_price,mnd_uom,mnd_pack_coverage,mnd_promo_price,mnd_specs,mnd_url,tsh_carried,tsh_sku,tsh_brand,tsh_price,tsh_uom,tsh_pack_coverage,tsh_promo_price,tsh_specs,tsh_url
F001,Luxury Vinyl Plank,sq_ft,spec_matched,,Opening price point SPC,,per_sq_ft,core=SPC;wear_layer_mil=6;thickness_mm=4.0;width_in=6;length_in=48;attached_pad=no;install=click;waterproof=yes;look=oak,16493,,2026-09-10,seed_estimate,"record each retailer's own brand + actual specs; match the market position, not only the spec",y,FND-359614,Sonoma,1.49,per_sq_ft,,,core=SPC;wear_layer_mil=6;thickness_mm=4.0;width_in=6;length_in=48;attached_pad=no;install=click;waterproof=yes;look=oak,,y,HD-948966,LifeProof,31.98,per_case,21.56,,core=SPC;wear_layer_mil=4.5;thickness_mm=4.0;width_in=6;length_in=48;attached_pad=no;install=click;waterproof=yes;look=oak,,n,,,,,,,,,y,MND-446181,Tuscany,24.98,per_box,16.37,,core=SPC;wear_layer_mil=6;thickness_mm=4.0;width_in=6;length_in=48;attached_pad=no;install=click;waterproof=yes;look=oak,,y,TSH-589457,Rush River,1.89,per_sq_ft,,,core=SPC;wear_layer_mil=6;thickness_mm=4.0;width_in=6;length_in=48;attached_pad=no;install=click;waterproof=yes;look=oak,
F002,Luxury Vinyl Plank,sq_ft,spec_matched,,Value SPC,,per_sq_ft,core=SPC;wear_layer_mil=12;thickness_mm=5.0;width_in=7;length_in=48;attached_pad=yes;install=click;waterproof=yes;look=oak,71725,,2026-09-10,seed_estimate,"record each retailer's own brand + actual specs; match the market position, not only the spec",y,FND-444809,DuraLux,2.69,per_sq_ft,,,core=SPC;wear_layer_mil=12;thickness_mm=5.0;width_in=7;length_in=48;attached_pad=yes;install=click;waterproof=yes;look=oak,,y,HD-915639,LifeProof,2.79,per_sq_ft,,,core=SPC;wear_layer_mil=12;thickness_mm=5.0;width_in=7;length_in=48;attached_pad=yes;install=click;waterproof=yes;look=oak,,y,LW-708129,SMARTCORE,2.89,per_sq_ft,,,core=SPC;wear_layer_mil=12;thickness_mm=5.0;width_in=7;length_in=48;attached_pad=yes;install=click;waterproof=yes;look=oak,,y,MND-825500,Patrician,2.89,per_sq_ft,,,core=SPC;wear_layer_mil=12;thickness_mm=5.0;width_in=7;length_in=48;attached_pad=yes;install=click;waterproof=yes;look=oak,,y,TSH-797090,Marmi,3.19,per_sq_ft,,,core=SPC;wear_layer_mil=12;thickness_mm=5.0;width_in=7;length_in=48;attached_pad=yes;install=click;waterproof=yes;look=oak,
F003,Luxury Vinyl Plank,sq_ft,spec_matched,,Mid-tier SPC,,per_sq_ft,core=SPC;wear_layer_mil=20;thickness_mm=6.0;width_in=7;length_in=48;attached_pad=yes;install=click;waterproof=yes;look=oak,40462,,2026-09-10,seed_estimate,"record each retailer's own brand + actual specs; match the market position, not only the spec",y,FND-378220,NuCore,4.89,per_sq_ft,,,core=SPC;wear_layer_mil=20;thickness_mm=6.0;width_in=7;length_in=48;attached_pad=yes;install=click;waterproof=yes;look=oak,,y,HD-316157,TrafficMaster,109.00,per_case,19.94,,core=SPC;wear_layer_mil=20;thickness_mm=6.0;width_in=7;length_in=48;attached_pad=yes;install=click;waterproof=yes;look=oak,,y,LW-610203,allen + roth,4.79,per_sq_ft,,,core=SPC;wear_layer_mil=20;thickness_mm=6.0;width_in=7;length_in=48;attached_pad=yes;install=click;waterproof=yes;look=oak,,y,MND-107638,Patrician,4.89,per_sq_ft,,,core=SPC;wear_layer_mil=20;thickness_mm=6.0;width_in=7;length_in=48;attached_pad=yes;install=click;waterproof=yes;look=oak,,y,TSH-168020,Rush River,5.79,per_sq_ft,,,core=SPC;wear_layer_mil=20;thickness_mm=6.0;width_in=7;length_in=48;attached_pad=yes;install=click;waterproof=yes;look=oak,
F004,Luxury Vinyl Plank,sq_ft,spec_matched,,Premium SPC wide plank,,per_sq_ft,core=SPC;wear_layer_mil=22;thickness_mm=6.5;width_in=9;length_in=60;attached_pad=yes;install=click;waterproof=yes;look=oak,34991,,2026-09-10,seed_estimate,"record each retailer's own brand + actual specs; match the market position, not only the spec",y,FND-525100,DuraLux,2.49,per_sq_ft,,,core=SPC;wear_layer_mil=22;thickness_mm=6.5;width_in=9;length_in=60;attached_pad=yes;install=click;waterproof=yes;look=oak,,y,HD-977994,LifeProof,2.79,per_sq_ft,,2.39,core=SPC;wear_layer_mil=22;thickness_mm=6.5;width_in=9;length_in=60;attached_pad=yes;install=click;waterproof=yes;look=oak,,y,LW-916271,Style Selections,2.49,per_sq_ft,,,core=SPC;wear_layer_mil=22;thickness_mm=6.5;width_in=9;length_in=60;attached_pad=yes;install=click;waterproof=yes;look=oak,,y,MND-485213,Patrician,49.98,per_box,19.48,,core=SPC;wear_layer_mil=22;thickness_mm=6.5;width_in=9;length_in=60;attached_pad=yes;install=click;waterproof=yes;look=oak,,y,TSH-420279,Rush River,2.49,per_sq_ft,,,core=SPC;wear_layer_mil=22;thickness_mm=3.9;width_in=9;length_in=60;attached_pad=yes;install=click;waterproof=yes;look=oak,
F005,Luxury Vinyl Plank,sq_ft,spec_matched,,Heavy commercial SPC,,per_sq_ft,core=SPC;wear_layer_mil=28;thickness_mm=8.0;width_in=9;length_in=60;attached_pad=yes;install=click;waterproof=yes;look=oak,55325,,2026-09-10,seed_estimate,"record each retailer's own brand + actual specs; match the market position, not only the spec",y,FND-762979,Sonoma,3.99,per_sq_ft,,,core=SPC;wear_layer_mil=28;thickness_mm=8.0;width_in=9;length_in=60;attached_pad=yes;install=click;waterproof=yes;look=oak,,y,HD-234631,Home Decorators Collection,4.29,per_sq_ft,,,core=SPC;wear_layer_mil=28;thickness_mm=8.0;width_in=9;length_in=60;attached_pad=yes;install=click;waterproof=yes;look=oak,,y,LW-616872,allen + roth,4.09,per_sq_ft,,,core=SPC;wear_layer_mil=28;thickness_mm=8.0;width_in=9;length_in=60;attached_pad=yes;install=click;waterproof=yes;look=oak,,y,MND-587950,Tuscany,4.19,per_sq_ft,,,core=SPC;wear_layer_mil=28;thickness_mm=8.0;width_in=9;length_in=60;attached_pad=yes;install=click;waterproof=yes;look=oak,,y,TSH-559742,Marmi,4.59,per_sq_ft,,3.89,core=SPC;wear_layer_mil=28;thickness_mm=8.0;width_in=9;length_in=60;attached_pad=yes;install=click;waterproof=yes;look=oak,
F006,Luxury Vinyl Plank,sq_ft,spec_matched,,Mid-tier WPC,,per_sq_ft,core=WPC;wear_layer_mil=20;thickness_mm=6.5;width_in=7;length_in=48;attached_pad=yes;install=click;waterproof=yes;look=hickory,63077,,2026-09-10,seed_estimate,"record each retailer's own brand + actual specs; match the market position, not only the spec",y,FND-141247,Sonoma,1.59,per_sq_ft,,,core=WPC;wear_layer_mil=20;thickness_mm=6.5;width_in=7;length_in=48;attached_pad=yes;install=click;waterproof=yes;look=hickory,,y,HD-536381,LifeProof,25.98,per_case,16.44,,core=WPC;wear_layer_mil=20;thickness_mm=6.5;width_in=7;length_in=48;attached_pad=yes;install=click;waterproof=yes;look=hickory,,y,LW-771799,Style Selections,1.79,per_sq_ft,,,core=WPC;wear_layer_mil=20;thickness_mm=6.5;width_in=7;length_in=48;attached_pad=yes;install=click;waterproof=yes;look=hickory,,y,MND-520188,Tuscany,46.98,per_box,27.21,,core=WPC;wear_layer_mil=20;thickness_mm=6.5;width_in=7;length_in=48;attached_pad=yes;install=click;waterproof=yes;look=hickory,,n,,,,,,,,
F007,Luxury Vinyl Plank,sq_ft,spec_matched,,Premium WPC wide plank,,per_sq_ft,core=WPC;wear_layer_mil=28;thickness_mm=8.0;width_in=9;length_in=72;attached_pad=yes;install=click;waterproof=yes;look=walnut,84767,,2026-09-10,seed_estimate,"record each retailer's own brand + actual specs; match the market position, not only the spec",y,FND-571474,Sonoma,4.89,per_sq_ft,,4.09,core=WPC;wear_layer_mil=28;thickness_mm=8.0;width_in=9;length_in=72;attached_pad=yes;install=click;waterproof=yes;look=walnut,,y,HD-923900,TrafficMaster,129.00,per_case,23.67,,core=WPC;wear_layer_mil=28;thickness_mm=8.0;width_in=9;length_in=72;attached_pad=yes;install=click;waterproof=yes;look=walnut,,y,LW-913344,allen + roth,4.79,per_sq_ft,,,core=WPC;wear_layer_mil=16.8;thickness_mm=8.0;width_in=9;length_in=72;attached_pad=yes;install=click;waterproof=yes;look=walnut,,y,MND-318928,Tuscany,84.98,per_box,17.38,,core=WPC;wear_layer_mil=28;thickness_mm=8.0;width_in=9;length_in=72;attached_pad=yes;install=click;waterproof=yes;look=walnut,,n,,,,,,,,
F008,Luxury Vinyl Plank,sq_ft,spec_matched,,Glue-down LVT plank,,per_sq_ft,core=flexible;wear_layer_mil=20;thickness_mm=2.5;width_in=6;length_in=48;install=glue;waterproof=yes;look=oak,35759,,2026-09-10,seed_estimate,"record each retailer's own brand + actual specs; match the market position, not only the spec",y,FND-961436,DuraLux,2.49,per_sq_ft,,2.09,core=flexible;wear_layer_mil=20;thickness_mm=2.5;width_in=6;length_in=48;install=glue;waterproof=yes;look=oak,,y,HD-676606,LifeProof,2.69,per_sq_ft,,,core=flexible;wear_layer_mil=20;thickness_mm=2.5;width_in=6;length_in=48;install=glue;waterproof=yes;look=oak,,y,LW-736229,allen + roth,2.69,per_sq_ft,,2.39,core=flexible;wear_layer_mil=20;thickness_mm=2.5;width_in=6;length_in=48;install=glue;waterproof=yes;look=oak,,y,MND-583386,Tuscany,60.98,per_box,22.69,,core=flexible;wear_layer_mil=20;thickness_mm=2.5;width_in=6;length_in=48;install=glue;waterproof=yes;look=oak,,y,TSH-977875,Kismet,2.69,per_sq_ft,,,core=flexible;wear_layer_mil=20;thickness_mm=2.5;width_in=6;length_in=48;install=glue;waterproof=yes;look=oak,
F009,Luxury Vinyl Plank,sq_ft,spec_matched,,Glue-down LVT stone look,,per_sq_ft,core=flexible;wear_layer_mil=20;thickness_mm=2.0;width_in=12;length_in=24;install=glue;waterproof=yes;look=stone,24262,,2026-09-10,seed_estimate,"record each retailer's own brand + actual specs; match the market position, not only the spec",y,FND-893464,Salerno,1.59,per_sq_ft,,,core=flexible;wear_layer_mil=20;thickness_mm=2.0;width_in=12;length_in=24;install=glue;waterproof=yes;look=stone,,y,HD-878003,LifeProof,41.98,per_case,24.07,,core=flexible;wear_layer_mil=20;thickness_mm=2.0;width_in=12;length_in=24;install=glue;waterproof=yes;look=stone,,y,LW-721302,SMARTCORE,1.59,per_sq_ft,,,core=flexible;wear_layer_mil=20;thickness_mm=2.0;width_in=12;length_in=24;install=glue;waterproof=yes;look=stone,,y,MND-690560,Dakota,1.79,per_sq_ft,,,core=flexible;wear_layer_mil=20;thickness_mm=2.0;width_in=12;length_in=24;install=glue;waterproof=yes;look=stone,,y,TSH-194131,Rush River,1.89,per_sq_ft,,,core=flexible;wear_layer_mil=20;thickness_mm=2.0;width_in=12;length_in=24;install=glue;waterproof=yes;look=stone,
F010,Luxury Vinyl Plank,sq_ft,spec_matched,,Commercial glue-down LVT,,per_sq_ft,core=flexible;wear_layer_mil=28;thickness_mm=3.0;width_in=6;length_in=36;install=glue;waterproof=yes;look=oak,81533,,2026-09-10,seed_estimate,"record each retailer's own brand + actual specs; match the market position, not only the spec",y,FND-862390,NuCore,2.29,per_sq_ft,,,core=flexible;wear_layer_mil=28;thickness_mm=3.0;width_in=6;length_in=36;install=glue;waterproof=yes;look=oak,,y,HD-949251,Home Decorators Collection,63.98,per_case,25.36,,core=flexible;wear_layer_mil=28;thickness_mm=3.0;width_in=6;length_in=36;install=glue;waterproof=yes;look=oak,,y,LW-569598,Style Selections,2.19,per_sq_ft,,,core=flexible;wear_layer_mil=28;thickness_mm=3.0;width_in=6;length_in=36;install=glue;waterproof=yes;look=oak,,n,,,,,,,,,y,TSH-985743,Rush River,2.89,per_sq_ft,,,core=flexible;wear_layer_mil=28;thickness_mm=3.0;width_in=6;length_in=36;install=glue;waterproof=yes;look=oak,
