group_id,category,subcategory,basis,description,annual_volume,specs
C001,Setting Materials,Custom Building Products,lb,Custom Building Products VersaBond Gray Fortified Thin-Set (MTSG50) 50 lb bag,23113,chemistry=modified thinset;color_family=gray;grade=standard
C002,Setting Materials,Custom Building Products,lb,Custom Building Products VersaBond White Professional Thin-Set (MTSW50) 50 lb bag,56620,chemistry=modified thinset;color_family=white;grade=standard
C003,Setting Materials,Custom Building Products,lb,Custom Building Products VersaBond-LFT Gray Large Format Mortar 50 lb bag,45443,chemistry=large format mortar;color_family=gray;grade=premium
C004,Setting Materials,MAPEI,lb,MAPEI Ultraflex 2 Gray Polymer-Modified Mortar 50 lb bag,82843,chemistry=modified thinset;color_family=gray;grade=premium
C005,Setting Materials,MAPEI,lb,MAPEI Ultraflex 1 White Mortar 50 lb bag,41860,chemistry=modified thinset;color_family=white;grade=standard
C006,Setting Materials,MAPEI,each,MAPEI Type 1 Ceramic Tile Adhesive 3.5 gal pail,65648,chemistry=mastic;grade=standard
C007,Setting Materials,Laticrete,lb,Laticrete 254 Platinum Gray Multipurpose Mortar 50 lb bag,27209,chemistry=modified thinset;color_family=gray;grade=premium
C008,Setting Materials,Custom Building Products,each,Custom Building Products AcrylPro Professional Tile Adhesive 3.5 gal pail,86976,chemistry=mastic;grade=standard
C009,Grout & Caulk,Custom Building Products,each,Custom Building Products Fusion Pro Single Component Grout 1 gal pail,12718,chemistry=single component;stain_resistant=yes
C010,Grout & Caulk,Custom Building Products,lb,Custom Building Products Polyblend Plus Sanded Grout 25 lb bag,60181,chemistry=sanded;joint_width=0.25
C011,Grout & Caulk,Custom Building Products,lb,Custom Building Products Polyblend Plus Non-Sanded Grout 10 lb bag,56998,chemistry=unsanded;joint_width=0.125
C012,Grout & Caulk,MAPEI,lb,MAPEI Keracolor S Sanded Grout 25 lb bag,39642,chemistry=sanded;joint_width=0.25
C013,Grout & Caulk,MAPEI,lb,MAPEI Keracolor U Unsanded Grout 10 lb bag,37553,chemistry=unsanded;joint_width=0.125
C014,Grout & Caulk,MAPEI,each,MAPEI Flexcolor CQ Ready-to-Use Grout 1 gal pail,34249,chemistry=single component;stain_resistant=yes
C015,Grout & Caulk,Custom Building Products,each,Custom Building Products Commercial 100% Silicone Sealant 10.1 oz tube,10678,chemistry=silicone
C016,Grout & Caulk,Custom Building Products,each,Custom Building Products Polyblend Sanded Ceramic Tile Caulk 10.5 oz tube,6362,chemistry=sanded caulk
C017,Membrane & Backer,Schluter,sq_ft,Schluter DITRA Uncoupling Membrane (DITRA5M) 54 sq ft roll,13667,material=polyethylene;thickness_mm=3.2;function=uncoupling
C018,Membrane & Backer,Schluter,sq_ft,Schluter DITRA Uncoupling Membrane 150 sq ft roll,87418,material=polyethylene;thickness_mm=3.2;function=uncoupling
C019,Membrane & Backer,Schluter,sq_ft,Schluter DITRA-XL Uncoupling Membrane 175 sq ft roll,27119,material=polyethylene;thickness_mm=7;function=uncoupling
