candidate_id,category,basis,match_standard,brand,product,pack,record_uom,specs,annual_volume,same_product_confirmed,collected_on,data_source,notes,fnd_carried,fnd_sku,fnd_brand,fnd_price,fnd_uom,fnd_pack_coverage,fnd_promo_price,fnd_specs,fnd_url,hd_carried,hd_sku,hd_brand,hd_price,hd_uom,hd_pack_coverage,hd_promo_price,hd_specs,hd_url,lw_carried,lw_sku,lw_brand,lw_price,lw_uom,lw_pack_coverage,lw_promo_price,lw_specs,lw_url,mnd_carried,mnd_sku,mnd_brand,mnd_price,mnd_uom,mnd_pack_coverage,mnd_promo_price,mnd_specs,mnd_url,tsh_carried,tsh_sku,tsh_brand,tsh_price,tsh_uom,tsh_pack_coverage,tsh_promo_price,tsh_specs,tsh_url
C001,Setting Materials,lb,identical,Custom Building Products,VersaBond Gray Fortified Thin-Set (MTSG50),50 lb bag,per_bag,chemistry=modified thinset;color_family=gray;grade=standard,23113,y,2026-09-10,seed_estimate,expected at all three - confirm carriage,y,FND-271657,,29.98,per_bag,50,,,,y,HD-366502,,30.98,per_bag,50,,,,n,,,,,50,,,,y,MND-827768,,27.98,per_bag,50,,,,y,TSH-878552,,32.98,per_bag,50,,,
C002,Setting Materials,lb,identical,Custom Building Products,VersaBond White Professional Thin-Set (MTSW50),50 lb bag,per_bag,chemistry=modified thinset;color_family=white;grade=standard,56620,y,2026-09-10,seed_estimate,expected at all three - confirm carriage,y,FND-220780,,24.98,per_bag,50,,,,y,HD-805608,,26.98,per_bag,50,,,,y,LW-755507,,25.98,per_bag,50,,,,y,MND-438864,,24.98,per_bag,50,21.98,,,y,TSH-552397,,25.98,per_bag,50,,,
C003,Setting Materials,lb,identical,Custom Building Products,VersaBond-LFT Gray Large Format Mortar,50 lb bag,per_bag,chemistry=large format mortar;color_family=gray;grade=premium,45443,y,2026-09-10,seed_estimate,expected at all three - confirm carriage,y,FND-450904,,22.98,per_bag,50,,,,y,HD-891138,,23.98,per_bag,50,,,,y,LW-948469,,24.98,per_bag,50,,,,y,MND-552261,,22.98,per_bag,50,,,,y,TSH-702644,,24.98,per_bag,50,,,
C004,Setting Materials,lb,identical,MAPEI,Ultraflex 2 Gray Polymer-Modified Mortar,50 lb bag,per_bag,chemistry=modified thinset;color_family=gray;grade=premium,82843,y,2026-09-10,seed_estimate,expected at all three - confirm carriage,y,FND-430863,,27.98,per_bag,50,,,,y,HD-998475,,28.98,per_bag,50,,,,y,LW-295448,,27.98,per_bag,50,25.98,,,y,MND-139932,,26.98,per_bag,50,,,,y,TSH-610254,,28.98,per_bag,50,,,
C005,Setting Materials,lb,identical,MAPEI,Ultraflex 1 White Mortar,50 lb bag,per_bag,chemistry=modified thinset;color_family=white;grade=standard,41860,y,2026-09-10,seed_estimate,expected at all three - confirm carriage,y,FND-427879,,28.98,per_bag,50,,,,y,HD-638011,,28.98,per_bag,50,,,,y,LW-980509,,30.98,per_bag,50,,,,n,,,,,50,,,,y,TSH-487263,,31.98,per_bag,50,,,
C006,Setting Materials,each,identical,MAPEI,Type 1 Ceramic Tile Adhesive,3.5 gal pail,per_each,chemistry=mastic;grade=standard,65648,y,2026-09-10,seed_estimate,expected at all three - confirm carriage,y,FND-308679,,0.49,per_each,,0.49,,,y,HD-992354,,0.49,per_each,,,,,y,LW-463315,,0.49,per_each,,,,,y,MND-500441,,0.49,per_each,,,,,y,TSH-431176,,0.49,per_each,,,,
C007,Setting Materials,lb,identical,Laticrete,254 Platinum Gray Multipurpose Mortar,50 lb bag,per_bag,chemistry=modified thinset;color_family=gray;grade=premium,27209,y,2026-09-10,seed_estimate,expected at all three - confirm carriage,y,FND-944030,,16.98,per_bag,50,,,,y,HD-572450,,16.98,per_bag,50,,,,n,,,,,50,,,,y,MND-992992,,16.98,per_bag,50,,,,y,TSH-797918,,18.98,per_bag,50,,,
C008,Setting Materials,each,identical,Custom Building Products,AcrylPro Professional Tile Adhesive,3.5 gal pail,per_each,chemistry=mastic;grade=standard,86976,y,2026-09-10,seed_estimate,expected at all three - confirm carriage,y,FND-225403,,0.39,per_each,,,,,y,HD-433627,,0.49,per_each,,,,,y,LW-957128,,0.49,per_each,,,,,y,MND-187215,,0.39,per_each,,,,,y,TSH-470106,,0.49,per_each,,,,
C009,Grout & Caulk,each,identical,Custom Building Products,Fusion Pro Single Component Grout,1 gal pail,per_each,chemistry=single component;stain_resistant=yes,12718,y,2026-09-10,seed_estimate,expected at all three - confirm carriage,y,FND-389600,,0.99,per_each,,,,,y,HD-954089,,1.09,per_each,,,,,y,LW-535961,,1.09,per_each,,,,,y,MND-255197,,1.09,per_each,,,,,y,TSH-421849,,1.09,per_each,,,,
C010,Grout & Caulk,lb,identical,Custom Building Products,Polyblend Plus Sanded Grout,25 lb bag,per_bag,chemistry=sanded;joint_width=0.25,60181,y,2026-09-10,seed_estimate,expected at all three - confirm carriage,y,FND-141690,,29.98,per_bag,25,26.98,,,y,HD-306774,,32.98,per_bag,25,,,,y,LW-807375,,32.98,per_bag,25,,,,y,MND-276578,,29.98,per_bag,25,,,,n,,,,,25,,,
