candidate_id,category,basis,match_standard,brand,product,pack,record_uom,specs,annual_volume,same_product_confirmed,collected_on,data_source,notes,fnd_carried,fnd_sku,fnd_brand,fnd_price,fnd_uom,fnd_pack_coverage,fnd_promo_price,fnd_specs,fnd_url,hd_carried,hd_sku,hd_brand,hd_price,hd_uom,hd_pack_coverage,hd_promo_price,hd_specs,hd_url,lw_carried,lw_sku,lw_brand,lw_price,lw_uom,lw_pack_coverage,lw_promo_price,lw_specs,lw_url,mnd_carried,mnd_sku,mnd_brand,mnd_price,mnd_uom,mnd_pack_coverage,mnd_promo_price,mnd_specs,mnd_url,tsh_carried,tsh_sku,tsh_brand,tsh_price,tsh_uom,tsh_pack_coverage,tsh_promo_price,tsh_specs,tsh_url
F001,Luxury Vinyl Plank,sq_ft,spec_matched,,Opening price point SPC,,per_sq_ft,core=SPC;wear_layer_mil=6;thickness_mm=4.0;width_in=6;length_in=48;attached_pad=no;install=click;waterproof=yes;look=oak,,,,,"record each retailer's own brand + actual specs; match the market position, not only the spec",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F002,Luxury Vinyl Plank,sq_ft,spec_matched,,Value SPC,,per_sq_ft,core=SPC;wear_layer_mil=12;thickness_mm=5.0;width_in=7;length_in=48;attached_pad=yes;install=click;waterproof=yes;look=oak,,,,,"record each retailer's own brand + actual specs; match the market position, not only the spec",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F003,Luxury Vinyl Plank,sq_ft,spec_matched,,Mid-tier SPC,,per_sq_ft,core=SPC;wear_layer_mil=20;thickness_mm=6.0;width_in=7;length_in=48;attached_pad=yes;install=click;waterproof=yes;look=oak,,,,,"record each retailer's own brand + actual specs; match the market position, not only the spec",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F004,Luxury Vinyl Plank,sq_ft,spec_matched,,Premium SPC wide plank,,per_sq_ft,core=SPC;wear_layer_mil=22;thickness_mm=6.5;width_in=9;length_in=60;attached_pad=yes;install=click;waterproof=yes;look=oak,,,,,"record each retailer's own brand + actual specs; match the market position, not only the spec",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F005,Luxury Vinyl Plank,sq_ft,spec_matched,,Heavy commercial SPC,,per_sq_ft,core=SPC;wear_layer_mil=28;thickness_mm=8.0;width_in=9;length_in=60;attached_pad=yes;install=click;waterproof=yes;look=oak,,,,,"record each retailer's own brand + actual specs; match the market position, not only the spec",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F006,Luxury Vinyl Plank,sq_ft,spec_matched,,Mid-tier WPC,,per_sq_ft,core=WPC;wear_layer_mil=20;thickness_mm=6.5;width_in=7;length_in=48;attached_pad=yes;install=click;waterproof=yes;look=hickory,,,,,"record each retailer's own brand + actual specs; match the market position, not only the spec",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F007,Luxury Vinyl Plank,sq_ft,spec_matched,,Premium WPC wide plank,,per_sq_ft,core=WPC;wear_layer_mil=28;thickness_mm=8.0;width_in=9;length_in=72;attached_pad=yes;install=click;waterproof=yes;look=walnut,,,,,"record each retailer's own brand + actual specs; match the market position, not only the spec",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F008,Luxury Vinyl Plank,sq_ft,spec_matched,,Glue-down LVT plank,,per_sq_ft,core=flexible;wear_layer_mil=20;thickness_mm=2.5;width_in=6;length_in=48;install=glue;waterproof=yes;look=oak,,,,,"record each retailer's own brand + actual specs; match the market position, not only the spec",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F009,Luxury Vinyl Plank,sq_ft,spec_matched,,Glue-down LVT stone look,,per_sq_ft,core=flexible;wear_layer_mil=20;thickness_mm=2.0;width_in=12;length_in=24;install=glue;waterproof=yes;look=stone,,,,,"record each retailer's own brand + actual specs; match the market position, not only the spec",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F010,Luxury Vinyl Plank,sq_ft,spec_matched,,Commercial glue-down LVT,,per_sq_ft,core=flexible;wear_layer_mil=28;thickness_mm=3.0;width_in=6;length_in=36;install=glue;waterproof=yes;look=oak,,,,,"record each retailer's own brand + actual specs; match the market position, not only the spec",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
