id,category,periods_affected,basis,note,impact_on_comparability,source
N01,Reporting basis,All,both,"The filings present two different sets of figures. business_100 is the underlying gas storage Business on a 100% basis - the combined consolidated financial statements of Swan Equity Aggregator LP and BIF II CalGas (Delaware) LLC. company is Rockpoint Gas Storage Inc. itself, which holds a 40% interest.",FATAL if mixed. The two bases are never merged in this workbook; they are carried as parallel labelled blocks. Quartr's standardized feed does mix them and must not be used.,Audited FY2026 statements doc 4064735 p2; annual MD&A doc 4064736
N02,Corporate structure,FY2026 onward,company,"Rockpoint Gas Storage Inc. was incorporated 2025-07-28 and acquired a 40% interest in the Business from Brookfield on 2025-10-15 (IPO closing). Brookfield retains 60%, held directly at the OpCo level - beside the Company, not beneath it. Class B shares carry votes but no economics.",The Company held NO interest in the Business before 2025-10-15. No Company-basis figure exists for any earlier period.,AIF doc 3724816; earnings release doc 3409150 p1
N03,Stub period,FY2026,company,"The Company's first annual reporting period is the 246-day stub labelled verbatim 'July 28, 2025 to March 31, 2026'. Only 168 days of it (from 2025-10-15) carry any economic activity; the Company was effectively dormant until then.","NOT a full year. No annualisation, no growth rate, and no comparison against any Business-basis full year is valid.",Annual MD&A doc 4064736 p14
N04,No comparatives,FY2026,company,The MD&A states outright: 'no comparative financial information is provided in respect of the Company.',No Company-basis growth rate is computable from any available filing. None was created.,Annual MD&A doc 4064736
N05,Interim coverage,Q2 FY2026 - Q1 FY2027,company,"Q2 FY2026 is the ONLY interim filing containing Company-basis statements, and every figure in them is nil (Note 2: no activities for the Company). Q3 FY2026 and Q1 FY2027 present no Company-basis statements at all. The Company balance sheet's second column is dated 2025-07-28 (incorporation), not a prior period.","There is no Company-basis interim balance sheet, income statement or cash flow for any date after 2025-09-30.","Interim statements docs 4064731, 4064733, 3693795"
N06,First annual cycle,FY2025,business_100,"Rockpoint's IPO closed 2025-10-15, during FY2026. FY2026 is therefore its first annual reporting cycle as a public issuer. There is no standalone FY2025 annual filing.","Every FY2025 figure in this workbook is a COMPARATIVE column from the FY2026 filing, flagged is_comparative and shown in italics. None is as-originally-reported.",Audited FY2026 statements doc 4064735
N07,Unobtainable source,FY2023 - FY2025,business_100,"The supplemented PREP Prospectus dated 2025-10-08 is the sole source of as-originally-reported FY2023, FY2024 and FY2025 history. It is incorporated by reference into the AIF but not reproduced there. Every filing archive is blocked by this environment's network egress policy.","FY2023 and FY2024 are absent from this model entirely. Deliberate blank, not an omission.",See filings/UNOBTAINED.md
N08,Negative equity,"FY2025, FY2026",business_100,"Owners' equity is a DEFICIENCY: (238.8) at 2026-03-31 and (85.8) at 2025-03-31, driven by pre-IPO distributions to Brookfield exceeding retained earnings.","ROE, ROIC and any equity-based return metric are meaningless and are deliberately suppressed rather than shown as a negative or nonsensical figure.","Audited FY2026 statements doc 4064735 p5, p7"
N09,Non-recurring item,FY2026,business_100,"Other expenses rose from 6.9 to 55.3, being a $51.5m payment under Brookfield's legacy long-term incentive plan agreements, fully funded by Brookfield Infrastructure and offset by an equal $51.5m capital contribution in financing activities.",FY2026 net earnings of 206.9 would have been 259 excluding these costs. No liquidity impact on Rockpoint or Class A shareholders. Do not read the earnings decline as operational.,Audited FY2026 statements doc 4064735; earnings release doc 3409150 p1
N10,Reclassification,FY2025,business_100,Note 21 discloses that FY2025 cash-flow amounts previously shown as 'notes extended to related parties' were reclassified to 'distributions'. NO before/after amounts are given and no restatement table is provided.,"The FY2025 financing lines here will NOT match FY2025 as originally reported. Note 21 discloses FY2025 advances of $50.0m and $472.2m which the FY2025 comparative cash flow ($83.0m notes extended, $628.9m distributions) does not bridge.",Audited FY2026 statements doc 4064735 p41
